MP.7 Performance Evaluation 1,,,,,,,,,,,
,Total Key Points Detected,,,,,,,,,,
,Img 0,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Average
Shi Tomasi,1370,1301,1361,1358,1333,1284,1322,1366,1389,1339,1342
Harris,115,98,113,121,160,383,85,210,171,281,174
FAST,1824,1832,1810,1817,1793,1796,1788,1695,1749,1770,1787
BRISK,2757,2777,2742,2735,2757,2695,2715,2628,2639,2672,2712
SIFT,1438,1371,1380,1335,1305,1370,1396,1382,1463,1422,1386
ORB,500,500,500,500,500,500,500,500,500,500,500
AKAZE,1351,1327,1311,1351,1360,1347,1363,1331,1357,1331,1343
,,,,,,,,,,,
No of Keypoints in Preceding vehicle,,,,,,,,,,,
,Img 0,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Average
BRISK,264,282,282,277,297,279,289,272,266,254,276
AKAZE,166,157,161,155,163,164,173,175,177,179,167
FAST,149,152,150,155,149,149,156,150,138,143,149
SIFT,138,132,124,137,134,140,137,148,159,137,139
Shi Tomasi,125,118,123,120,120,113,114,123,111,112,118
ORB,92,102,106,113,109,125,130,129,127,128,116
Harris,17,14,18,21,26,43,18,31,26,34,25
,,,,,,,,,,,
MP.8 Performance Evaluation 2 and MP.9 Performance Evaluation 3,,,,,,,,,,,
Detector,Descriptor,Avg of Total # Keypoints Detected,Detection Time (ms),Extraction Time (ms),Avg of # Matched Keypoints,Matching Time (ms),,,,,
Shi Tomasi,BRISK,1342,21.62,3.15,118,0.57,,,,,
Shi Tomasi,BRIEF,1342,21.4,2.02,118,0.57,,,,,
Shi Tomasi,ORB,1342,21.21,1.19,118,0.56,,,,,
Shi Tomasi,FREAK,1342,16.93,55.24,118,0.6,,,,,
Shi Tomasi,AKAZE,N/A,N/A,N/A,N/A,N/A,,,,,
Shi Tomasi,SIFT,1342,16.89,23.98,118,2.55,,,,,
Harris,BRISK,173,22.87,1.66,23,0.2,,,,,
Harris,BRIEF,173,24.54,1.45,23,0.2,,,,,
Harris,ORB,173,25.24,1.19,23,0.29,,,,,
Harris,FREAK,173,22.6,63.71,23,0.21,,,,,
Harris,AKAZE,173,28.92,127.92,23,0.17,,,,,
Harris,SIFT,173,24.73,28.54,23,0.5,,,,,
FAST,BRISK,1787,1.4,3.18,149,2.5,,,,,
FAST,BRIEF,1787,0.97,1.24,149,0.75,,,,,
FAST,ORB,1787,0.95,1.9,149,0.67,,,,,
FAST,FREAK,1787,0.98,48.95,149,0.75,,,,,
FAST,AKAZE,1787,0.96,100.7,149,0.78,,,,,
FAST,SIFT,1787,0.91,36.12,149,2.33,,,,,
BRISK,BRISK,2711,42.8,3.44,278,1.98,,,,,
BRISK,BRIEF,2711,42.57,1.38,278,1.98,,,,,
BRISK,ORB,2711,42.33,5.54,278,1.76,,,,,
BRISK,FREAK,2711,42.29,49.73,278,1.71,,,,,
BRISK,AKAZE,2711,42.32,92.95,278,2.18,,,,,
BRISK,SIFT,2711,42.57,69.26,278,4.93,,,,,
SIFT,BRISK,1386,158.65,1.83,138,0.66,,,,,
SIFT,BRIEF,1386,159.03,0.98,138,0.66,,,,,
SIFT,ORB,N/A,N/A,N/A,N/A,N/A,,,,,
SIFT,FREAK,1386,160.95,49.19,138,0.66,,,,,
SIFT,AKAZE,1386,163.13,89.52,138,0.66,,,,,
SIFT,SIFT,1386,133.33,94.65,138,2.28,,,,,
ORB,BRISK,500,9.71,1.56,105,0.54,,,,,
ORB,BRIEF,500,8.89,0.85,114,0.56,,,,,
ORB,ORB,500,8.7,5.58,114,0.44,,,,,
ORB,FREAK,500,8.65,49.04,61,0.28,,,,,
ORB,AKAZE,500,8.82,96.06,114,0.53,,,,,
ORB,SIFT,500,12.21,81.04,114,1.82,,,,,
AKAZE,BRISK,1342,108.46,2.33,165,0.91,,,,,
AKAZE,BRIEF,1342,106.87,1.39,165,0.87,,,,,
AKAZE,ORB,1342,106.38,3.6,165,0.73,,,,,
AKAZE,FREAK,1342,106.85,52.82,165,0.86,,,,,
AKAZE,AKAZE,1342,106.97,94.34,165,0.91,,,,,
AKAZE,SIFT,1342,102.53,35.71,165,2.75,,,,,
